date|time|description|vendor|amount
2025-04-29|14:32:54.322803500|ylol|we|1231.00
2025-04-29|14:47:29.731327300|debt|me|-321.00
2024-03-30|11:06:29.418409300|wally|wally|4534.00
2024-04-30|11:07:19.139372900|was|werf|-12.00
2025-04-30|11:08:17.970439200|aswe|fdef|213.00
2024-04-30|11:08:28.187443900|wefd|qwea|-231.00
2025-04-30|11:09:26.148528900|wad|dwas|213321.00
2024-04-30|13:17:21.486367600|fad|ven|-432.00
2025-03-30|13:20:20.962903400|wally|djkldf|12321.00
2025-04-30|13:34:42.650308700|wally|sunco|123.00
2025-05-01|12:27:31.422673200|barrow|mom|21000.00
2025-05-01|12:27:57.622759400|phone bill|cricket|-25.00
2025-05-02|12:07:26.059104900|tv|amazon|50.00
2025-05-02|12:07:43.519766600|phone bill|verizon|-50.00
